"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_hash","data_path","dislike_threshold","end_sep","like_threshold","min_neg_ratings","min_pos_ratings","model_type","nb_neg","nb_pos","nb_test_users","offset","prompt_id","prompts","sep","users_seed","xp_name","ndcg_1","ndcg_1_std","ndcg_2","ndcg_2_std","ndcg_3","ndcg_3_std","ndcg_4","ndcg_4_std","ndcg_5","ndcg_5_std","pop_1","pop_1_std","precision_1","precision_1_std","precision_2","precision_2_std","precision_3","precision_3_std","precision_4","precision_4_std","precision_5","precision_5_std","recall_1","recall_1_std","recall_2","recall_2_std","recall_3","recall_3_std","recall_4","recall_4_std","recall_5","recall_5_std"
"resilient-frost-71","failed","-","","","2025-01-27T16:05:48.000Z","27","","1364062411622452200","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","bpr","4","5","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","bpr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"charmed-river-70","finished","-","","","2025-01-27T16:03:57.000Z","106","","1587350575401855700","/root/.local/share/gpt-rec/ml-1m","2.5"," ","4","5","21","bert-large-uncased","4","5","50","0","5","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","penha","0.2","0.4","0.3135673556428624","0.416327439865133","0.4035673556428624","0.3921561081622224","0.5241567919034124","0.3063457598200774","0.586053241060939","0.22152760734189736","4.348266984498566","5.128184409622055","0.2","0.4","0.19","0.2426932219902319","0.18666666666666668","0.1654623152798781","0.21","0.09165151389911678","0.19999999999999996","5.551115123125783e-17","0.2","0.4","0.38","0.4853864439804639","0.56","0.4963869458396343","0.84","0.36660605559646714","1","0"
"sparkling-durian-69","finished","-","","","2025-01-27T16:03:07.000Z","46","","1402395380708216800","/root/.local/share/gpt-rec/ml-1m","2.5"," ","4","5","21","bert-base-uncased","4","5","50","0","5","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","penha","0.3","0.45825756949558394","0.4261859507142915","0.44494944229890154","0.5261859507142915","0.39082325424575903","0.6123212623289702","0.3029415818652063","0.6510065430524243","0.2405554419933034","3.597325535806701","4.565656247393253","0.3","0.45825756949558394","0.25","0.25","0.23333333333333336","0.15275252316519466","0.225","0.075","0.19999999999999996","5.551115123125783e-17","0.3","0.45825756949558394","0.5","0.5","0.7","0.458257569495584","0.9","0.3","1","0"
"helpful-salad-68","finished","-","","","2025-01-27T16:02:17.000Z","46","","933538103756278100","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","5","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","model_size","0.3","0.45825756949558394","0.464041735928579","0.4337788368987628","0.614041735928579","0.31851461279299215","0.6484958605744504","0.26979717318120844","0.6717070290085229","0.2261114076892763","5.261265862487329","5.440275319307302","0.3","0.45825756949558394","0.28","0.2481934729198171","0.2866666666666666","0.11566234381931648","0.235","0.059371710435189594","0.19999999999999996","5.551115123125783e-17","0.3","0.45825756949558394","0.56","0.4963869458396342","0.86","0.3469870314579494","0.94","0.2374868417407584","1","0"
"classic-microwave-67","finished","-","","","2025-01-27T16:01:18.000Z","54","","905410218678911900","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2-medium","4","5","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","model_size","0.48","0.49959983987187184","0.5935673556428624","0.4464648004318515","0.6635673556428624","0.382532859026061","0.7152485426116697","0.3119782391806668","0.7461967671904328","0.2531278167688276","6.461795930820236","4.804726586020689","0.48","0.49959983987187184","0.33","0.23685438564654024","0.26666666666666666","0.13333333333333333","0.23","0.06782329983125268","0.19999999999999996","5.551115123125783e-17","0.48","0.49959983987187184","0.66","0.4737087712930805","0.8","0.4","0.92","0.2712931993250107","1","0"
"likely-planet-66","finished","-","","","2025-01-27T16:00:05.000Z","69","","1518746878275996700","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2-large","4","5","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","model_size","0.32","0.466476151587624","0.5218975211428665","0.4183373407745096","0.6118975211428664","0.343459716532481","0.6549651769502057","0.2862725973811273","0.6859134015289691","0.22896854847102957","5.712293165711222","5.468742238670273","0.32","0.466476151587624","0.32","0.24","0.2733333333333334","0.12806248474865695","0.23","0.06782329983125268","0.19999999999999996","5.551115123125783e-17","0.32","0.466476151587624","0.64","0.48","0.82","0.3841874542459709","0.92","0.2712931993250107","1","0"
"pious-snowball-65","finished","-","","","2025-01-27T15:59:28.000Z","33","","2104542884629435000","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","20","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.36","0.48","0.4861859507142915","0.45081891277583785","0.5461859507142915","0.4138784580413355","0.6064806688445665","0.35743977224218837","0.6761141741467841","0.2557137715967927","5.421730463531784","4.8587038558585025","0.36","0.48","0.28","0.2481934729198171","0.22666666666666668","0.155492050529208","0.205","0.09604686356149274","0.19999999999999996","5.551115123125783e-17","0.36","0.48","0.56","0.4963869458396342","0.68","0.46647615158762407","0.82","0.38418745424597095","1","0"
"snowy-tree-64","finished","-","","","2025-01-27T15:58:49.000Z","35","","1855903814960035000","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","15","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.34","0.4737087712930804","0.4914231408571499","0.4405004671690049","0.5814231408571499","0.377471185949106","0.6503313901488927","0.2954380062904187","0.6812796147276561","0.2409253550118895","4.447330625489188","4.582951493558447","0.34","0.4737087712930804","0.29","0.2467792535850613","0.2533333333333333","0.14236104336041747","0.23","0.06782329983125268","0.19999999999999996","5.551115123125783e-17","0.34","0.4737087712930804","0.58","0.4935585071701226","0.76","0.4270831300812525","0.92","0.2712931993250107","1","0"
"valiant-breeze-63","finished","-","","","2025-01-27T15:58:12.000Z","33","","1625489925582761500","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","10","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.42","0.4935585071701226","0.5714231408571498","0.4347562064409979","0.6714231408571498","0.3387157080318797","0.6886502031800856","0.31419349852121753","0.7273354839035396","0.24270405879239784","7.5730248539033","5.913176322297831","0.42","0.4935585071701226","0.33","0.23685438564654024","0.2866666666666666","0.11566234381931648","0.225","0.075","0.19999999999999996","5.551115123125783e-17","0.42","0.4935585071701226","0.66","0.4737087712930805","0.86","0.3469870314579494","0.9","0.3","1","0"
"sparkling-serenity-62","finished","-","","","2025-01-27T15:57:35.000Z","33","","1066409631842160000","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","7","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.34","0.4737087712930804","0.504041735928579","0.4352479069070374","0.594041735928579","0.3682570135106905","0.6371093917359183","0.31802305695363525","0.6835317286040632","0.24039556801159537","5.523311800792393","5.866040538469664","0.34","0.4737087712930804","0.3","0.2449489742783178","0.26","0.13808210118138653","0.22","0.0812403840463596","0.19999999999999996","5.551115123125783e-17","0.34","0.4737087712930804","0.6","0.4898979485566356","0.78","0.41424630354415953","0.88","0.3249615361854384","1","0"
